family,members
"Ducks, Geese, and Swans",Black-bellied Whistling-Duck
"Ducks, Geese, and Swans",Fulvous Whistling-Duck
"Ducks, Geese, and Swans",Taiga Bean-Goose
"Ducks, Geese, and Swans",Tundra Bean-Goose
"Ducks, Geese, and Swans",Pink-footed Goose
"Ducks, Geese, and Swans",Greater White-fronted Goose
"Ducks, Geese, and Swans",Lesser White-fronted Goose
"Ducks, Geese, and Swans",Graylag Goose
"Ducks, Geese, and Swans",Emperor Goose
"Ducks, Geese, and Swans",Snow Goose
"Ducks, Geese, and Swans",Ross's Goose
"Ducks, Geese, and Swans",Brant
"Ducks, Geese, and Swans",Barnacle Goose
"Ducks, Geese, and Swans",Cackling Goose
"Ducks, Geese, and Swans",Canada Goose
"Ducks, Geese, and Swans",Mute Swan
"Ducks, Geese, and Swans",Trumpeter Swan
"Ducks, Geese, and Swans",Tundra Swan
"Ducks, Geese, and Swans",Whooper Swan
"Ducks, Geese, and Swans",Egyptian Goose
"Ducks, Geese, and Swans",Muscovy Duck
"Ducks, Geese, and Swans",Wood Duck
"Ducks, Geese, and Swans",Gadwall
"Ducks, Geese, and Swans",Falcated Duck
"Ducks, Geese, and Swans",Eurasian Wigeon
"Ducks, Geese, and Swans",American Wigeon
"Ducks, Geese, and Swans",American Black Duck
"Ducks, Geese, and Swans",Mallard
"Ducks, Geese, and Swans",Mottled Duck
"Ducks, Geese, and Swans",Eastern Spot-billed Duck
"Ducks, Geese, and Swans",Blue-winged Teal
"Ducks, Geese, and Swans",Cinnamon Teal
"Ducks, Geese, and Swans",Northern Shoveler
"Ducks, Geese, and Swans",White-cheeked Pintail
"Ducks, Geese, and Swans",Northern Pintail
"Ducks, Geese, and Swans",Garganey
"Ducks, Geese, and Swans",Baikal Teal
"Ducks, Geese, and Swans",Green-winged Teal
"Ducks, Geese, and Swans",Canvasback
"Ducks, Geese, and Swans",Redhead
"Ducks, Geese, and Swans",Common Pochard
"Ducks, Geese, and Swans",Ring-necked Duck
"Ducks, Geese, and Swans",Tufted Duck
"Ducks, Geese, and Swans",Greater Scaup
"Ducks, Geese, and Swans",Lesser Scaup
